TEAM_NAME,win_pct
Atlanta Hawks,0.4431818181818182
Austin Spurs,0.56
Birmingham Squadron,0.5
Boston Celtics,0.7924528301886793
Brooklyn Nets,0.3953488372093023
Cairns Taipans,0.0
Capital City Go-Go,0.5490196078431373
Charlotte Hornets,0.2558139534883721
Chicago Bulls,0.4606741573033708
Cleveland Cavaliers,0.5510204081632653
Cleveland Charge,0.42
College Park Skyhawks,0.54
Dallas Mavericks,0.5925925925925926
Delaware Blue Coats,0.5576923076923077
Denver Nuggets,0.6767676767676768
Detroit Pistons,0.18604651162790697
East NBA All Stars East,1.0
Flamengo Flamengo,0.0
Fort Wayne Mad Ants,0.6923076923076923
G League Ignite,0.1346153846153846
Golden State Warriors,0.5681818181818182
Grand Rapids Gold,0.32
Greensboro Swarm,0.38
Houston Rockets,0.5172413793103449
Indiana Pacers,0.5480769230769231
Iowa Wolves,0.26
LA Clippers,0.5978260869565217
Long Island Nets,0.5660377358490566
Los Angeles Lakers,0.5473684210526316
Madrid Baloncesto,1.0
Maine Celtics,0.5818181818181818
Memphis Grizzlies,0.3333333333333333
Memphis Hustle,0.4
Mexico City Capitanes,0.56
Miami Heat,0.5319148936170213
Milwaukee Bucks,0.5806451612903226
Minnesota Timberwolves,0.6796116504854369
Motor City Cruise,0.5
New Orleans Pelicans,0.5543478260869565
New York Knicks,0.58
New Zealand Breakers,0.0
Oklahoma City Blue,0.6428571428571429
Oklahoma City Thunder,0.6701030927835051
Ontario Clippers,0.5
Orlando Magic,0.5698924731182796
Osceola Magic,0.6274509803921569
Perth Wildcats,0.5
Philadelphia 76ers,0.5591397849462365
Phoenix Suns,0.5824175824175825
Portland Trail Blazers,0.2558139534883721
Ra'anana Maccabi Ra'anana,0.0
Raptors 905,0.34
Rio Grande Valley Vipers,0.5686274509803921
Rip City Remix,0.52
Sacramento Kings,0.5393258426966292
Salt Lake City Stars,0.5686274509803921
San Antonio Spurs,0.28735632183908044
Santa Cruz Warriors,0.6153846153846154
Sioux Falls Skyforce,0.5882352941176471
South Bay Lakers,0.52
Stockton Kings,0.5769230769230769
Team BallisLife,0.5
Team Detlef,0.5
Team EarnYourLeisure,1.0
Team Giraffe Stars,0.0
Team Jalen,1.0
Team Pau,0.0
Team Shannon,1.0
Team Stephen A,0.0
Team StrictlyBball,0.0
Team Tamika,0.0
Texas Legends,0.48
Toronto Raptors,0.3372093023255814
Utah Jazz,0.39080459770114945
Washington Wizards,0.20930232558139536
West NBA All Stars West,0.0
Westchester Knicks,0.49019607843137253
Windy City Bulls,0.46
Wisconsin Herd,0.44
